Date,2026-03-20,Net Asset,93824460628.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,4405000.0,8.64%,1840.0,8105200000.0,134000.0,246560000.0
2383,台光電,2427000.0,7.27%,2810.0,6819870000.0,0.0,0.0
2308,台達電,4309000.0,6.77%,1475.0,6355775000.0,0.0,0.0
3017,奇鋐,2876000.0,6.28%,2050.0,5895800000.0,304000.0,623200000.0
2368,金像電,5765000.0,6.07%,988.0,5695820000.0,165000.0,163020000.0
6223,旺矽,1366000.0,5.62%,3860.0,5272760000.0,0.0,0.0
3653,健策,1328000.0,5.45%,3850.0,5112800000.0,31000.0,119350000.0
2345,智邦,3034000.0,5.21%,1610.0,4884740000.0,0.0,0.0
3665,貿聯-KY,2525848.0,4.91%,1825.0,4609672600.0,163000.0,297475000.0
3037,欣興,7410000.0,4.38%,554.0,4105140000.0,0.0,0.0
5274,信驊,255000.0,3.19%,11750.0,2996250000.0,0.0,0.0
2327,國巨*,10703000.0,3.09%,271.0,2900513000.0,452000.0,122492000.0
8046,南電,4656000.0,2.68%,541.0,2518896000.0,0.0,0.0
2449,京元電子,7062000.0,2.32%,308.0,2175096000.0,0.0,0.0
6510,精測,590000.0,2.26%,3600.0,2124000000.0,0.0,0.0
6515,穎崴,248000.0,2.1%,7930.0,1966640000.0,0.0,0.0
3661,世芯-KY,530000.0,1.91%,3375.0,1788750000.0,-59000.0,-199125000.0
8210,勤誠,1621000.0,1.58%,912.0,1478352000.0,0.0,0.0
3711,日月光投控,4258000.0,1.56%,344.0,1464752000.0,0.0,0.0
6805,富世達,682000.0,1.45%,2000.0,1364000000.0,0.0,0.0
1303,南亞,15336000.0,1.28%,78.4,1202342400.0,0.0,0.0
3189,景碩,2657000.0,1.08%,380.0,1009660000.0,0.0,0.0
6139,亞翔,1704000.0,1.08%,593.0,1010472000.0,0.0,0.0
2454,聯發科,486000.0,0.88%,1700.0,826200000.0,0.0,0.0
6488,環球晶,1700000.0,0.85%,469.0,797300000.0,0.0,0.0
3443,創意,245000.0,0.69%,2645.0,648025000.0,245000.0,648025000.0
2404,漢唐,573000.0,0.57%,930.0,532890000.0,0.0,0.0
3211,順達,1576000.0,0.55%,325.0,512200000.0,0.0,0.0
6274,台燿,844000.0,0.5%,554.0,467576000.0,-619000.0,-342926000.0
8358,金居,1864000.0,0.49%,245.5,457612000.0,0.0,0.0
5347,世界,3848000.0,0.48%,116.0,446368000.0,0.0,0.0
4979,華星光,1036000.0,0.45%,404.5,419062000.0,0.0,0.0
1326,台化,8827000.0,0.43%,45.85,404717950.0,0.0,0.0
6191,精成科,3399000.0,0.35%,96.2,326983800.0,0.0,0.0
3376,新日興,1425000.0,0.34%,223.5,318487500.0,0.0,0.0
2408,南亞科,1305000.0,0.33%,234.0,305370000.0,0.0,0.0
8996,高力,315000.0,0.31%,911.0,286965000.0,0.0,0.0
6669,緯穎,73000.0,0.3%,3805.0,277765000.0,0.0,0.0
3264,欣銓,1789000.0,0.29%,152.0,271928000.0,0.0,0.0
1802,台玻,3885000.0,0.24%,57.6,223776000.0,-2111000.0,-121593600.0
3533,嘉澤,100000.0,0.22%,2065.0,206500000.0,0.0,0.0
3324,雙鴻,158000.0,0.18%,1065.0,168270000.0,0.0,0.0
1319,東陽,1501000.0,0.13%,83.1,124733099.99999999,0.0,0.0
2002,中鋼,4926000.0,0.1%,19.45,95810700.0,0.0,0.0
3217,優群,355000.0,0.06%,159.5,56622500.0,0.0,0.0
3008,大立光,7000.0,0.02%,2355.0,16485000.0,0.0,0.0
2357,華碩,5000.0,0.0%,582.0,2910000.0,0.0,0.0
1815,富喬,2000.0,0.0%,102.0,204000.0,0.0,0.0
2439,美律,5000.0,0.0%,85.5,427500.0,0.0,0.0
3045,台灣大,5000.0,0.0%,109.0,545000.0,0.0,0.0
5536,聖暉*,4000.0,0.0%,712.0,2848000.0,0.0,0.0
2313,華通,4000.0,0.0%,222.0,888000.0,0.0,0.0
3583,辛耘,5000.0,0.0%,430.0,2150000.0,0.0,0.0
