Date,2026-03-19,Net Asset,91253421358.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,4271000.0,8.66%,1850.0,7901350000.0,0.0,0.0
2383,台光電,2427000.0,7.69%,2890.0,7014030000.0,0.0,0.0
2308,台達電,4309000.0,6.87%,1455.0,6269595000.0,0.0,0.0
2368,金像電,5600000.0,6.17%,1005.0,5628000000.0,0.0,0.0
3017,奇鋐,2572000.0,5.68%,2015.0,5182580000.0,0.0,0.0
3653,健策,1297000.0,5.54%,3900.0,5058300000.0,0.0,0.0
6223,旺矽,1366000.0,5.49%,3665.0,5006390000.0,0.0,0.0
2345,智邦,3034000.0,5.29%,1590.0,4824060000.0,0.0,0.0
3037,欣興,7410000.0,4.72%,581.0,4305210000.0,0.0,0.0
3665,貿聯-KY,2362848.0,4.45%,1720.0,4064098560.0,119000.0,204680000.0
5274,信驊,255000.0,3.37%,12050.0,3072750000.0,0.0,0.0
2327,國巨*,10251000.0,3.09%,275.0,2819025000.0,0.0,0.0
8046,南電,4656000.0,2.86%,561.0,2612016000.0,0.0,0.0
2449,京元電子,7062000.0,2.45%,316.0,2231592000.0,0.0,0.0
6510,精測,590000.0,2.3%,3550.0,2094500000.0,0.0,0.0
3661,世芯-KY,589000.0,2.08%,3220.0,1896580000.0,0.0,0.0
6515,穎崴,248000.0,1.96%,7210.0,1788080000.0,0.0,0.0
3711,日月光投控,4258000.0,1.62%,347.0,1477526000.0,0.0,0.0
8210,勤誠,1621000.0,1.58%,892.0,1445932000.0,0.0,0.0
6805,富世達,682000.0,1.48%,1975.0,1346950000.0,0.0,0.0
1303,南亞,15336000.0,1.42%,84.2,1291291200.0,0.0,0.0
3189,景碩,2657000.0,1.12%,383.5,1018959500.0,1347000.0,516574500.0
6139,亞翔,1704000.0,1.1%,587.0,1000248000.0,0.0,0.0
6274,台燿,1463000.0,0.94%,584.0,854392000.0,0.0,0.0
2454,聯發科,486000.0,0.89%,1680.0,816480000.0,0.0,0.0
6488,環球晶,1700000.0,0.88%,472.0,802400000.0,0.0,0.0
2404,漢唐,573000.0,0.57%,915.0,524295000.0,0.0,0.0
8358,金居,1864000.0,0.55%,269.0,501416000.0,0.0,0.0
3211,順達,1576000.0,0.52%,303.5,478316000.0,0.0,0.0
5347,世界,3848000.0,0.5%,117.5,452140000.0,1848000.0,217140000.0
1326,台化,8827000.0,0.45%,46.6,411338200.0,0.0,0.0
4979,華星光,1036000.0,0.44%,391.5,405594000.0,0.0,0.0
1802,台玻,5996000.0,0.4%,61.1,366355600.0,0.0,0.0
2408,南亞科,1305000.0,0.37%,260.0,339300000.0,0.0,0.0
6191,精成科,3399000.0,0.36%,97.6,331742400.0,0.0,0.0
3376,新日興,1425000.0,0.36%,230.5,328462500.0,0.0,0.0
8996,高力,315000.0,0.33%,951.0,299565000.0,0.0,0.0
3264,欣銓,1789000.0,0.3%,154.0,275506000.0,0.0,0.0
6669,緯穎,73000.0,0.3%,3765.0,274845000.0,0.0,0.0
3533,嘉澤,100000.0,0.22%,2030.0,203000000.0,0.0,0.0
3324,雙鴻,158000.0,0.19%,1070.0,169060000.0,0.0,0.0
1319,東陽,1501000.0,0.13%,82.0,123082000.0,0.0,0.0
2002,中鋼,4926000.0,0.1%,18.8,92608800.0,0.0,0.0
3217,優群,355000.0,0.06%,158.5,56267500.0,0.0,0.0
3008,大立光,7000.0,0.02%,2320.0,16240000.0,0.0,0.0
2059,川湖,4000.0,0.02%,3575.0,14300000.0,0.0,0.0
2357,華碩,5000.0,0.0%,578.0,2890000.0,0.0,0.0
1815,富喬,2000.0,0.0%,111.5,223000.0,0.0,0.0
2439,美律,5000.0,0.0%,83.8,419000.0,0.0,0.0
8299,群聯,1000.0,0.0%,1960.0,1960000.0,0.0,0.0
3045,台灣大,5000.0,0.0%,109.5,547500.0,0.0,0.0
5536,聖暉*,4000.0,0.0%,680.0,2720000.0,0.0,0.0
2313,華通,4000.0,0.0%,223.5,894000.0,0.0,0.0
3583,辛耘,5000.0,0.0%,416.5,2082500.0,0.0,0.0
