Date,2026-03-17,Net Asset,84499660672.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,4265000.0,9.44%,1870.0,7975550000.0,290000.0,542300000.0
2383,台光電,2427000.0,7.75%,2700.0,6552900000.0,0.0,0.0
2308,台達電,4309000.0,7.34%,1440.0,6204960000.0,0.0,0.0
2368,金像電,5600000.0,6.08%,917.0,5135200000.0,0.0,0.0
3017,奇鋐,2572000.0,5.8%,1905.0,4899660000.0,0.0,0.0
6223,旺矽,1366000.0,5.79%,3580.0,4890280000.0,0.0,0.0
3653,健策,1297000.0,5.72%,3725.0,4831325000.0,0.0,0.0
2345,智邦,3034000.0,5.22%,1455.0,4414470000.0,82000.0,119310000.0
3665,貿聯-KY,2243848.0,4.62%,1740.0,3904295520.0,0.0,0.0
3037,欣興,6505000.0,4.18%,543.0,3532215000.0,553000.0,300279000.0
2327,國巨*,10251000.0,3.47%,286.0,2931786000.0,1457000.0,416702000.0
5274,信驊,255000.0,3.42%,11320.0,2886600000.0,50000.0,566000000.0
8046,南電,4656000.0,3.0%,544.0,2532864000.0,0.0,0.0
6510,精測,590000.0,2.64%,3775.0,2227250000.0,0.0,0.0
3661,世芯-KY,589000.0,2.22%,3190.0,1878910000.0,0.0,0.0
2449,京元電子,5886000.0,2.05%,294.0,1730484000.0,0.0,0.0
8210,勤誠,1857000.0,1.94%,881.0,1636017000.0,0.0,0.0
6515,穎崴,248000.0,1.94%,6620.0,1641760000.0,0.0,0.0
3711,日月光投控,4258000.0,1.72%,342.0,1456236000.0,0.0,0.0
1303,南亞,15336000.0,1.55%,85.5,1311228000.0,0.0,0.0
6805,富世達,682000.0,1.41%,1745.0,1190090000.0,-211000.0,-368195000.0
6139,亞翔,1704000.0,1.17%,580.0,988320000.0,0.0,0.0
2454,聯發科,486000.0,1.0%,1730.0,840780000.0,0.0,0.0
6488,環球晶,1700000.0,0.91%,450.5,765850000.0,0.0,0.0
6274,台燿,1463000.0,0.87%,505.0,738815000.0,0.0,0.0
6669,緯穎,146000.0,0.69%,3965.0,578890000.0,-127000.0,-503555000.0
2404,漢唐,573000.0,0.63%,929.0,532317000.0,0.0,0.0
8358,金居,1864000.0,0.58%,263.0,490232000.0,0.0,0.0
3211,順達,1576000.0,0.57%,307.0,483832000.0,0.0,0.0
3189,景碩,1310000.0,0.53%,341.5,447365000.0,0.0,0.0
4979,華星光,1115000.0,0.52%,395.0,440425000.0,-104000.0,-41080000.0
1326,台化,8827000.0,0.46%,44.2,390153400.0,0.0,0.0
1802,台玻,5996000.0,0.44%,62.0,371752000.0,0.0,0.0
2408,南亞科,1305000.0,0.42%,271.5,354307500.0,1305000.0,354307500.0
6191,精成科,3399000.0,0.41%,101.0,343299000.0,0.0,0.0
3376,新日興,1425000.0,0.38%,224.0,319200000.0,0.0,0.0
8996,高力,315000.0,0.34%,918.0,289170000.0,164000.0,150552000.0
3264,欣銓,1789000.0,0.33%,157.0,280873000.0,0.0,0.0
3533,嘉澤,100000.0,0.22%,1820.0,182000000.0,0.0,0.0
3324,雙鴻,158000.0,0.2%,1050.0,165900000.0,0.0,0.0
1319,東陽,1501000.0,0.15%,85.1,127735099.99999999,0.0,0.0
2002,中鋼,4926000.0,0.11%,19.25,94825500.0,0.0,0.0
3217,優群,355000.0,0.07%,157.0,55735000.0,0.0,0.0
3008,大立光,7000.0,0.02%,2400.0,16800000.0,0.0,0.0
2059,川湖,4000.0,0.02%,3350.0,13400000.0,0.0,0.0
2357,華碩,5000.0,0.0%,593.0,2965000.0,0.0,0.0
1815,富喬,2000.0,0.0%,108.0,216000.0,0.0,0.0
2439,美律,5000.0,0.0%,84.8,424000.0,0.0,0.0
8299,群聯,1000.0,0.0%,1945.0,1945000.0,0.0,0.0
3045,台灣大,5000.0,0.0%,109.5,547500.0,0.0,0.0
5536,聖暉*,4000.0,0.0%,667.0,2668000.0,0.0,0.0
2313,華通,4000.0,0.0%,236.5,946000.0,0.0,0.0
3583,辛耘,5000.0,0.0%,408.0,2040000.0,0.0,0.0
