Date,2026-03-02,Net Asset,66323831583.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,3072000.0,9.15%,1975.0,6067200000.0,80000.0,158000000.0
2308,台達電,3133000.0,6.73%,1425.0,4464525000.0,40000.0,57000000.0
2383,台光電,1809000.0,6.49%,2380.0,4305420000.0,0.0,0.0
3017,奇鋐,2402000.0,6.39%,1765.0,4239530000.0,50000.0,88250000.0
2345,智邦,2660000.0,5.68%,1415.0,3763900000.0,35000.0,49525000.0
6669,緯穎,756000.0,4.73%,4150.0,3137400000.0,15000.0,62250000.0
8299,群聯,1615000.0,4.68%,1920.0,3100800000.0,1000.0,1920000.0
3665,貿聯-KY,1939848.0,4.4%,1505.0,2919471240.0,98000.0,147490000.0
6223,旺矽,1039000.0,4.39%,2800.0,2909200000.0,15000.0,42000000.0
3653,健策,954000.0,4.38%,3045.0,2904930000.0,14000.0,42630000.0
3037,欣興,5952000.0,4.32%,481.0,2862912000.0,762000.0,366522000.0
6274,台燿,4965000.0,4.04%,540.0,2681100000.0,0.0,0.0
8046,南電,4559000.0,3.72%,541.0,2466419000.0,0.0,0.0
2368,金像電,2887000.0,3.43%,787.0,2272069000.0,0.0,0.0
2327,國巨*,6839000.0,3.01%,292.0,1996988000.0,110000.0,32120000.0
6805,富世達,1124000.0,2.96%,1745.0,1961380000.0,30000.0,52350000.0
3661,世芯-KY,567000.0,2.94%,3440.0,1950480000.0,8000.0,27520000.0
8210,勤誠,1593000.0,2.24%,934.0,1487862000.0,30000.0,28020000.0
6515,穎崴,232000.0,1.67%,4775.0,1107800000.0,1000.0,4775000.0
6510,精測,288000.0,1.58%,3630.0,1045440000.0,1000.0,3630000.0
5274,信驊,102000.0,1.46%,9500.0,969000000.0,-26000.0,-247000000.0
6139,亞翔,1679000.0,1.41%,557.0,935203000.0,26000.0,14482000.0
2449,京元電子,2676000.0,1.27%,316.0,845616000.0,50000.0,15800000.0
2404,漢唐,537000.0,0.87%,1075.0,577275000.0,2000.0,2150000.0
4979,華星光,1219000.0,0.85%,462.5,563787500.0,400000.0,185000000.0
8358,金居,1827000.0,0.79%,286.5,523435500.0,1000.0,286500.0
3211,順達,1515000.0,0.71%,312.0,472680000.0,318000.0,99216000.0
1802,台玻,5996000.0,0.61%,67.2,402931200.0,0.0,0.0
6191,精成科,3328000.0,0.55%,109.0,362752000.0,2000.0,218000.0
6488,環球晶,787000.0,0.52%,440.0,346280000.0,1000.0,440000.0
3376,新日興,1368000.0,0.44%,215.5,294804000.0,25000.0,5387500.0
1319,東陽,1498000.0,0.22%,98.0,146804000.0,1000.0,98000.0
3324,雙鴻,106000.0,0.18%,1130.0,119780000.0,30000.0,33900000.0
2002,中鋼,4924000.0,0.15%,20.25,99711000.0,1000.0,20250.0
3217,優群,346000.0,0.08%,156.5,54149000.0,20000.0,3130000.0
3008,大立光,4000.0,0.01%,2455.0,9820000.0,1000.0,2455000.0
2059,川湖,1000.0,0.01%,3420.0,3420000.0,0.0,0.0
2357,華碩,2000.0,0.0%,530.0,1060000.0,0.0,0.0
8996,高力,1000.0,0.0%,879.0,879000.0,0.0,0.0
1815,富喬,1000.0,0.0%,107.5,107500.0,0.0,0.0
2439,美律,2000.0,0.0%,91.2,182400.0,0.0,0.0
1326,台化,1000.0,0.0%,48.2,48200.0,0.0,0.0
3533,嘉澤,1000.0,0.0%,1700.0,1700000.0,0.0,0.0
3045,台灣大,2000.0,0.0%,108.5,217000.0,0.0,0.0
2454,聯發科,1000.0,0.0%,1900.0,1900000.0,0.0,0.0
5536,聖暉*,1000.0,0.0%,700.0,700000.0,0.0,0.0
2313,華通,1000.0,0.0%,224.5,224500.0,0.0,0.0
1303,南亞,1000.0,0.0%,89.5,89500.0,0.0,0.0
3583,辛耘,2000.0,0.0%,368.0,736000.0,0.0,0.0
3711,日月光投控,2000.0,0.0%,370.5,741000.0,0.0,0.0
