Date,2026-03-10,Net Asset,77375507797.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,3895000.0,9.31%,1850.0,7205750000.0,107000.0,197950000.0
2383,台光電,2412000.0,7.4%,2375.0,5728500000.0,155000.0,368125000.0
2308,台達電,4180000.0,6.97%,1290.0,5392200000.0,554000.0,714660000.0
3653,健策,1247000.0,5.63%,3495.0,4358265000.0,50000.0,174750000.0
3017,奇鋐,2552000.0,5.59%,1695.0,4325640000.0,0.0,0.0
2368,金像電,5150000.0,5.44%,817.0,4207550000.0,888000.0,725496000.0
2345,智邦,2892000.0,5.36%,1435.0,4150020000.0,122000.0,175070000.0
6223,旺矽,1346000.0,5.2%,2990.0,4024540000.0,112000.0,334880000.0
3665,貿聯-KY,2223848.0,4.5%,1565.0,3480322120.0,0.0,0.0
6669,緯穎,797000.0,4.08%,3960.0,3156120000.0,0.0,0.0
3037,欣興,5952000.0,3.26%,424.0,2523648000.0,0.0,0.0
2327,國巨*,8426000.0,2.82%,258.5,2178121000.0,409000.0,105726500.0
6805,富世達,1124000.0,2.54%,1750.0,1967000000.0,0.0,0.0
8046,南電,4559000.0,2.52%,428.0,1951252000.0,0.0,0.0
5274,信驊,204000.0,2.49%,9430.0,1923720000.0,0.0,0.0
3661,世芯-KY,588000.0,2.33%,3060.0,1799280000.0,0.0,0.0
6510,精測,485000.0,2.17%,3465.0,1680525000.0,111000.0,384615000.0
8210,勤誠,1856000.0,2.13%,887.0,1646272000.0,0.0,0.0
2449,京元電子,5285000.0,2.0%,293.0,1548505000.0,871000.0,255203000.0
3711,日月光投控,4257000.0,1.85%,335.5,1428223500.0,2960000.0,993080000.0
6515,穎崴,248000.0,1.75%,5475.0,1357800000.0,0.0,0.0
6139,亞翔,1694000.0,1.13%,516.0,874104000.0,0.0,0.0
6488,環球晶,1699000.0,0.97%,443.0,752657000.0,0.0,0.0
2454,聯發科,424000.0,0.93%,1705.0,722920000.0,73000.0,124465000.0
6274,台燿,1462000.0,0.88%,467.0,682754000.0,-1596000.0,-745332000.0
2404,漢唐,572000.0,0.77%,1040.0,594880000.0,0.0,0.0
3211,順達,1575000.0,0.64%,314.0,494550000.0,0.0,0.0
4979,華星光,1219000.0,0.55%,349.0,425431000.0,0.0,0.0
8358,金居,1864000.0,0.54%,225.0,419400000.0,0.0,0.0
6191,精成科,3398000.0,0.41%,94.2,320091600.0,0.0,0.0
1802,台玻,5996000.0,0.4%,52.0,311792000.0,0.0,0.0
3376,新日興,1425000.0,0.36%,197.5,281437500.0,0.0,0.0
1303,南亞,3184000.0,0.32%,77.7,247396800.0,0.0,0.0
3324,雙鴻,157000.0,0.19%,938.0,147266000.0,0.0,0.0
1319,東陽,1500000.0,0.17%,87.6,131399999.99999999,0.0,0.0
3264,欣銓,760000.0,0.14%,146.0,110960000.0,760000.0,110960000.0
2002,中鋼,4925000.0,0.12%,19.2,94560000.0,0.0,0.0
3533,嘉澤,32000.0,0.07%,1575.0,50400000.0,0.0,0.0
3217,優群,354000.0,0.07%,153.0,54162000.0,0.0,0.0
3008,大立光,6000.0,0.02%,2300.0,13800000.0,0.0,0.0
2059,川湖,3000.0,0.01%,3060.0,9180000.0,0.0,0.0
2357,華碩,4000.0,0.0%,531.0,2124000.0,0.0,0.0
8996,高力,1000.0,0.0%,769.0,769000.0,0.0,0.0
1815,富喬,2000.0,0.0%,100.5,201000.0,0.0,0.0
2439,美律,4000.0,0.0%,79.8,319200.0,0.0,0.0
1326,台化,3000.0,0.0%,44.25,132750.0,0.0,0.0
8299,群聯,1000.0,0.0%,1745.0,1745000.0,0.0,0.0
3045,台灣大,4000.0,0.0%,106.5,426000.0,0.0,0.0
5536,聖暉*,3000.0,0.0%,691.0,2073000.0,0.0,0.0
2313,華通,3000.0,0.0%,191.0,573000.0,0.0,0.0
3583,辛耘,4000.0,0.0%,347.0,1388000.0,0.0,0.0
